2023-04-25 20:41:15.129 [info] Log level: Info
2023-04-25 20:41:15.129 [info] Validating found git in: "git"
2023-04-25 20:41:15.129 [info] Using git "2.39.2" from "git"
2023-04-25 20:41:15.137 [info] > git rev-parse --show-toplevel [38ms]
2023-04-25 20:41:15.251 [info] > git rev-parse --show-toplevel [48ms]
2023-04-25 20:41:15.273 [info] > git rev-parse --show-toplevel [12ms]
2023-04-25 20:41:15.291 [info] > git rev-parse --show-toplevel [5ms]
2023-04-25 20:46:16.622 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 20:46:17.850 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:46:41.296 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:46:53.036 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:47:47.462 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:47:48.489 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:47:48.771 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:48:05.037 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:48:05.610 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:48:05.931 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:48:06.341 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:48:07.034 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:48:40.763 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:51:00.248 [info] > git rev-parse --show-toplevel [6ms]
2023-04-25 20:51:22.439 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:51:23.107 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:51:23.378 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:55:13.380 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 20:55:14.866 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 20:56:15.151 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:00:19.447 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:01:10.487 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:01:12.071 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 21:01:12.434 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:01:14.387 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 21:01:15.255 [info] > git rev-parse --show-toplevel [1ms]
2023-04-25 21:01:16.448 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:01:16.964 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:01:17.383 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:01:33.534 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:02:38.486 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:03:59.989 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:05:53.103 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:05:55.802 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:06:00.570 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:06:44.574 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:06:49.602 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:06:55.220 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:07:13.239 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 21:07:17.101 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:11:57.747 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 21:12:04.065 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 21:12:04.619 [info] > git rev-parse --show-toplevel [2ms]
