2023-04-23 12:06:57.082 [info] Log level: Info
2023-04-23 12:06:57.082 [info] Validating found git in: "git"
2023-04-23 12:06:57.082 [info] Using git "2.39.2" from "git"
2023-04-23 12:06:57.092 [info] > git rev-parse --show-toplevel [10ms]
2023-04-23 12:06:57.162 [info] > git rev-parse --show-toplevel [38ms]
2023-04-23 12:06:57.188 [info] > git rev-parse --show-toplevel [19ms]
2023-04-23 12:06:57.212 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 12:06:57.352 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 12:06:57.551 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 12:06:57.721 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 12:06:57.876 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 12:11:56.274 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 12:12:20.526 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 12:12:20.946 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 12:12:21.208 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 13:28:08.996 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 13:28:10.696 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 13:28:13.995 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 13:28:26.196 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:06:47.546 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:07:30.007 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:17.936 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:27.307 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:27.814 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:28.056 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:29.438 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:30.800 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 15:22:33.891 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:41.222 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 15:22:41.892 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:42.127 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:42.491 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 15:22:42.862 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:22:49.156 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:30:37.722 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:30:38.747 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:30:41.213 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 15:30:41.850 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 16:21:00.522 [info] > git rev-parse --show-toplevel [2ms]
