2023-04-23 11:09:40.127 [info] Log level: Info
2023-04-23 11:09:40.127 [info] Validating found git in: "git"
2023-04-23 11:09:40.127 [info] Using git "2.39.2" from "git"
2023-04-23 11:09:40.127 [info] > git rev-parse --show-toplevel [6ms]
2023-04-23 11:09:40.128 [info] > git rev-parse --show-toplevel [11ms]
2023-04-23 11:09:40.149 [info] > git rev-parse --show-toplevel [15ms]
2023-04-23 11:09:40.185 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 11:09:40.485 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 11:09:40.678 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 11:09:40.833 [info] > git rev-parse --show-toplevel [20ms]
2023-04-23 11:09:40.990 [info] > git rev-parse --show-toplevel [15ms]
2023-04-23 11:09:43.058 [info] > git rev-parse --show-toplevel [64ms]
