2023-04-23 21:32:28.743 [info] Log level: Info
2023-04-23 21:32:28.743 [info] Validating found git in: "git"
2023-04-23 21:32:28.743 [info] Using git "2.39.2" from "git"
2023-04-23 21:32:28.743 [info] > git rev-parse --show-toplevel [8ms]
2023-04-23 21:32:28.744 [info] > git rev-parse --show-toplevel [34ms]
2023-04-23 21:32:28.776 [info] > git rev-parse --show-toplevel [26ms]
2023-04-23 21:32:28.788 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 21:32:28.915 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:32:29.013 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 21:32:29.073 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:32:29.209 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 21:32:29.368 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 21:37:22.909 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:37:36.959 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 21:45:34.656 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 21:49:29.388 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 21:53:30.635 [info] > git rev-parse --show-toplevel [1ms]
2023-04-23 21:53:33.431 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 21:59:43.727 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:59:43.989 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:59:44.456 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 21:59:44.668 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:02:59.826 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:03:00.901 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:03:12.270 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:03:56.947 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:04:06.456 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 22:04:23.519 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:04:51.093 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:05:21.147 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 22:08:56.585 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 22:09:09.419 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 22:09:11.370 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 22:09:20.394 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:09:20.868 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:09:22.140 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:09:24.072 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:09:53.146 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:10:04.390 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:10:21.987 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:12:29.070 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 22:13:01.794 [info] > git rev-parse --show-toplevel [9ms]
2023-04-23 22:13:02.526 [info] > git rev-parse --show-toplevel [6ms]
2023-04-23 22:13:16.862 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:13:56.745 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:13:59.851 [info] > git rev-parse --show-toplevel [4ms]
2023-04-23 22:14:03.449 [info] > git rev-parse --show-toplevel [3ms]
2023-04-23 22:14:06.760 [info] > git rev-parse --show-toplevel [2ms]
2023-04-23 22:14:08.004 [info] > git rev-parse --show-toplevel [5ms]
2023-04-23 22:14:09.424 [info] > git rev-parse --show-toplevel [3ms]
